="",="(1)",="(2)",="(3)",="(4)"
="",="liq_linetot",="liq_linetot",="liq_lineun",="liq_lineun"
="yd1996",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="yd1997",="0.000",="0.124**",="0.132**",="0.105**"
="",="(.)",="(0.030)",="(0.029)",="(0.031)"
="yd1998",="0.015",="0.142**",="0.133**",="0.107**"
="",="(0.018)",="(0.028)",="(0.028)",="(0.031)"
="yd1999",="0.008",="0.130**",="0.106**",="0.070*"
="",="(0.021)",="(0.026)",="(0.024)",="(0.029)"
="yd2000",="0.015",="0.140**",="0.100**",="0.063*"
="",="(0.024)",="(0.025)",="(0.024)",="(0.030)"
="yd2001",="-0.055*",="0.075**",="0.068**",="0.044"
="",="(0.026)",="(0.023)",="(0.021)",="(0.026)"
="yd2002",="-0.077**",="0.064**",="0.043*",="0.030"
="",="(0.028)",="(0.017)",="(0.017)",="(0.020)"
="yd2003",="-0.150**",="0.000",="0.000",="0.000"
="",="(0.030)",="(.)",="(.)",="(.)"
="_Isic_1_2",="-0.110",="-0.020",="-0.067",="-0.002"
="",="(0.112)",="(0.078)",="(0.123)",="(0.106)"
="_Isic_1_3",="-0.191**",="-0.133**",="-0.113",="-0.072"
="",="(0.056)",="(0.048)",="(0.089)",="(0.084)"
="_Isic_1_4",="-0.259**",="-0.188**",="-0.177*",="-0.121"
="",="(0.050)",="(0.045)",="(0.086)",="(0.081)"
="_Isic_1_5",="-0.195**",="-0.146**",="-0.134",="-0.102"
="",="(0.069)",="(0.053)",="(0.102)",="(0.094)"
="_Isic_1_6",="-0.192**",="-0.144**",="-0.149",="-0.123"
="",="(0.051)",="(0.043)",="(0.085)",="(0.078)"
="_Isic_1_7",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="_Isic_1_8",="-0.409**",="-0.297**",="-0.323**",="-0.246**"
="",="(0.059)",="(0.059)",="(0.090)",="(0.089)"
="_Isic_1_9",="-0.222**",="-0.148*",="-0.130",="-0.082"
="",="(0.065)",="(0.057)",="(0.095)",="(0.088)"
="_Isic_1_10",="-0.525**",="-0.219**",="-0.328**",="-0.006"
="",="(0.067)",="(0.045)",="(0.094)",="(0.080)"
="cflcl1",="0.126**",="0.149**",="0.100*",="0.163**"
="",="(0.045)",="(0.057)",="(0.041)",="(0.055)"
="tanglcl1",="-0.011",="-0.075",="-0.010",="-0.080"
="",="(0.079)",="(0.070)",="(0.075)",="(0.076)"
="lasslcl1",="0.049**",="0.014",="0.050**",="0.026*"
="",="(0.012)",="(0.010)",="(0.011)",="(0.011)"
="nwlcl1",="-0.122",="-0.152*",="-0.058",="-0.045"
="",="(0.066)",="(0.060)",="(0.060)",="(0.061)"
="mblcl1",="-0.035**",="-0.046**",="-0.029**",="-0.038**"
="",="(0.004)",="(0.005)",="(0.004)",="(0.006)"
="q_salesvar1",="1.037*",="-0.013",="1.188*",="0.302"
="",="(0.475)",="(0.433)",="(0.490)",="(0.476)"
="cfvar1",="-0.098",="-0.393",="-0.039",="-0.235"
="",="(0.079)",="(0.247)",="(0.069)",="(0.253)"
="spind",="0.040",="-0.011",="0.007",="-0.031"
="",="(0.046)",="(0.039)",="(0.045)",="(0.041)"
="exch",="-0.005",="0.008",="-0.043",="-0.046"
="",="(0.042)",="(0.040)",="(0.041)",="(0.044)"
="lfirmage",="-0.016",="-0.026",="-0.003",="-0.009"
="",="(0.018)",="(0.016)",="(0.017)",="(0.016)"
="_cons",="0.679**",="0.947**",="0.365*",="0.677**"
="",="(0.132)",="(0.109)",="(0.143)",="(0.137)"
="N",="1498",="1126",="1496",="1124"
="R-sq",="0.391",="0.293",="0.358",="0.236"
="adj. R-sq",="0.381",="0.277",="0.348",="0.219"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01"
